City Distance
99 ,13 ,24 ,23 ,14 ,23 ,24 ,7 ,6 ,9 ,6 ,21 ,23 ,7 ,12 ,5 ,11 ,14 ,7 ,16 ,City 1
13 ,99 ,23 ,6 ,7 ,23 ,7 ,21 ,11 ,22 ,11 ,9 ,22 ,10 ,23 ,11 ,24 ,15 ,6 ,12 ,City 2
24 ,23 ,99 ,14 ,18 ,23 ,24 ,5 ,8 ,8 ,17 ,12 ,11 ,21 ,12 ,22 ,20 ,15 ,14 ,18 ,City 3
23 ,6 ,14 ,99 ,12 ,10 ,7 ,7 ,6 ,14 ,25 ,24 ,15 ,11 ,20 ,8 ,20 ,6 ,25 ,11 ,City 4
14 ,7 ,18 ,12 ,99 ,16 ,8 ,20 ,9 ,19 ,20 ,13 ,10 ,21 ,12 ,23 ,5 ,19 ,12 ,9 ,City 5
23 ,23 ,23 ,10 ,16 ,99 ,6 ,19 ,19 ,15 ,14 ,6 ,7 ,5 ,18 ,24 ,24 ,11 ,21 ,10 ,City 6
24 ,7 ,24 ,7 ,8 ,6 ,99 ,19 ,24 ,16 ,8 ,12 ,15 ,14 ,10 ,13 ,9 ,22 ,5 ,9 ,City 7
7 ,21 ,5 ,7 ,20 ,19 ,19 ,99 ,19 ,19 ,18 ,16 ,17 ,22 ,25 ,23 ,16 ,22 ,13 ,10 ,City 8
6 ,11 ,8 ,6 ,9 ,19 ,24 ,19 ,99 ,11 ,17 ,10 ,12 ,15 ,5 ,19 ,18 ,24 ,6 ,21 ,City 9
9 ,22 ,8 ,14 ,19 ,15 ,16 ,19 ,11 ,99 ,14 ,14 ,12 ,18 ,7 ,12 ,13 ,19 ,8 ,19 ,City 10
6 ,11 ,17 ,25 ,20 ,14 ,8 ,18 ,17 ,14 ,99 ,7 ,16 ,7 ,13 ,20 ,24 ,6 ,17 ,22 ,City 11
21 ,9 ,12 ,24 ,13 ,6 ,12 ,16 ,10 ,14 ,7 ,99 ,7 ,10 ,25 ,24 ,7 ,12 ,15 ,20 ,City 12
23 ,22 ,11 ,15 ,10 ,7 ,15 ,17 ,12 ,12 ,16 ,7 ,99 ,9 ,17 ,15 ,11 ,10 ,11 ,21 ,City 13
7 ,10 ,21 ,11 ,21 ,5 ,14 ,22 ,15 ,18 ,7 ,10 ,9 ,99 ,18 ,23 ,16 ,10 ,5 ,20 ,City 14
12 ,23 ,12 ,20 ,12 ,18 ,10 ,25 ,5 ,7 ,13 ,25 ,17 ,18 ,99 ,22 ,16 ,10 ,22 ,19 ,City 15
5 ,11 ,22 ,8 ,23 ,24 ,13 ,23 ,19 ,12 ,20 ,24 ,15 ,23 ,22 ,99 ,22 ,11 ,16 ,22 ,City 16
11 ,24 ,20 ,20 ,5 ,24 ,9 ,16 ,18 ,13 ,24 ,7 ,11 ,16 ,16 ,22 ,99 ,15 ,11 ,25 ,City 17
14 ,15 ,15 ,6 ,19 ,11 ,22 ,22 ,24 ,19 ,6 ,12 ,10 ,10 ,10 ,11 ,15 ,99 ,22 ,11 ,City 18
7 ,6 ,14 ,25 ,12 ,21 ,5 ,13 ,6 ,8 ,17 ,15 ,11 ,5 ,22 ,16 ,11 ,22 ,99 ,9 ,City 19
16 ,12 ,18 ,11 ,9 ,10 ,9 ,10 ,21 ,19 ,22 ,20 ,21 ,20 ,19 ,22 ,25 ,11 ,9 ,99 ,City 20
Shortest path
Root
 1, 14,  6,  7, 19,  2,  4,  9, 15, 10,  3,  8, 20,  5, 17, 12, 11, 18, 13, 16,  1
Total,   140

Time,    0.050

City Distance
99 ,16 ,20 ,16 ,24 ,19 ,24 ,12 ,5 ,7 ,19 ,21 ,25 ,25 ,24 ,14 ,24 ,15 ,15 ,19 ,City 1
16 ,99 ,6 ,19 ,11 ,23 ,7 ,8 ,16 ,7 ,22 ,19 ,16 ,8 ,5 ,19 ,18 ,13 ,5 ,23 ,City 2
20 ,6 ,99 ,24 ,20 ,20 ,13 ,24 ,21 ,23 ,16 ,18 ,21 ,23 ,22 ,9 ,18 ,19 ,19 ,13 ,City 3
16 ,19 ,24 ,99 ,8 ,23 ,13 ,11 ,16 ,15 ,12 ,11 ,23 ,16 ,21 ,9 ,19 ,21 ,13 ,8 ,City 4
24 ,11 ,20 ,8 ,99 ,9 ,8 ,13 ,17 ,16 ,16 ,8 ,19 ,16 ,13 ,18 ,18 ,12 ,11 ,16 ,City 5
19 ,23 ,20 ,23 ,9 ,99 ,16 ,18 ,12 ,24 ,6 ,7 ,7 ,14 ,19 ,20 ,20 ,7 ,23 ,10 ,City 6
24 ,7 ,13 ,13 ,8 ,16 ,99 ,13 ,9 ,8 ,13 ,8 ,23 ,9 ,6 ,12 ,15 ,12 ,21 ,18 ,City 7
12 ,8 ,24 ,11 ,13 ,18 ,13 ,99 ,18 ,19 ,16 ,20 ,9 ,7 ,10 ,24 ,10 ,24 ,7 ,23 ,City 8
5 ,16 ,21 ,16 ,17 ,12 ,9 ,18 ,99 ,12 ,6 ,20 ,9 ,12 ,9 ,15 ,9 ,21 ,13 ,25 ,City 9
7 ,7 ,23 ,15 ,16 ,24 ,8 ,19 ,12 ,99 ,10 ,11 ,16 ,16 ,21 ,7 ,22 ,9 ,24 ,19 ,City 10
19 ,22 ,16 ,12 ,16 ,6 ,13 ,16 ,6 ,10 ,99 ,16 ,8 ,9 ,17 ,22 ,12 ,19 ,23 ,25 ,City 11
21 ,19 ,18 ,11 ,8 ,7 ,8 ,20 ,20 ,11 ,16 ,99 ,18 ,5 ,15 ,9 ,25 ,10 ,13 ,9 ,City 12
25 ,16 ,21 ,23 ,19 ,7 ,23 ,9 ,9 ,16 ,8 ,18 ,99 ,9 ,22 ,14 ,22 ,23 ,17 ,12 ,City 13
